CoverID,"CountryCode","Cover",startDate,endDate,"MonthlyPrice",ContractID
1,"FR","carInsurance",2022-02-01,2023-02-28,"€55",3
4,"FR","homeInsurance",2021-11-01,2022-10-31,"€30",3
8,"FR","homeInsurance",2022-05-01,2023-05-31,"€50",5
9,"FR","carInsurance",2021-09-01,2022-08-31,"€30",8
10,"FR","carInsurance",2022-04-01,2023-04-30,"€40",8
11,"FR","lifeInsurance",2022-06-01,2023-06-30,"€60",8
12,"FR","homeInsurance",2021-10-01,2022-09-30,"€45",8
14,"FR","carInsurance",2022-02-01,2023-02-28,"€35",10
17,"FR","carInsurance",2022-06-01,2023-06-30,"€55",11
20,"FR","homeInsurance",2021-09-01,2022-08-31,"€30",11
21,"FR","carInsurance",2022-01-01,2023-01-31,"€30",12
23,"FR","lifeInsurance",2022-02-01,2023-02-28,"€60",12
24,"FR","homeInsurance",2021-11-01,2022-10-31,"€30",12
25,"FR","carInsurance",2022-05-01,2023-05-31,"€60",13
29,"FR","carInsurance",2022-03-01,2023-03-31,"€60",14
32,"FR","homeInsurance",2022-01-01,2022-12-31,"€40",14
33,"FR","carInsurance",2022-06-01,2023-06-30,"€55",15
36,"FR","homeInsurance",2022-01-01,2023-01-31,"€35",15
37,"FR","carInsurance",2022-06-01,2023-06-30,"€60",16
40,"FR","homeInsurance",2021-11-01,2022-10-31,"€55",16
44,"FR","homeInsurance",2022-02-01,2023-02-28,"€55",17
45,"FR","carInsurance",2022-05-01,2023-05-31,"€30",20
48,"FR","homeInsurance",2021-09-01,2022-08-31,"€30",20
49,"FR","carInsurance",2022-06-01,2023-06-30,"€55",21
52,"FR","homeInsurance",2021-12-01,2022-11-30,"€35",21
53,"FR","carInsurance",2021-11-01,2022-10-31,"€35",25
56,"FR","homeInsurance",2022-01-01,2023-01-31,"€40",25
58,"FR","carInsurance",2022-05-01,2023-05-31,"€20",26
59,"FR","lifeInsurance",2021-11-01,2022-10-31,"€50",26
60,"FR","homeInsurance",2022-04-01,2023-04-30,"€50",26
61,"FR","carInsurance",2022-01-01,2023-01-31,"€50",27
64,"FR","homeInsurance",2022-06-01,2023-06-30,"€45",27
65,"FR","carInsurance",2021-11-01,2022-10-31,"€65",28
68,"FR","homeInsurance",2021-11-01,2022-10-31,"€35",28
69,"FR","carInsurance",2022-05-01,2023-05-31,"€30",30
72,"FR","homeInsurance",2022-05-01,2023-05-31,"€45",30
76,"FR","homeInsurance",2021-12-01,2022-11-30,"€50",31
80,"FR","homeInsurance",2022-02-01,2023-02-28,"€40",32
81,"FR","carInsurance",2022-02-01,2023-02-28,"€65",33
82,"FR","carInsurance",2022-03-01,2023-03-31,"€45",33
85,"FR","carInsurance",2022-02-01,2023-02-28,"€45",34
88,"FR","homeInsurance",2021-09-01,2022-08-31,"€45",34
91,"FR","lifeInsurance",2022-06-01,2023-06-30,"€50",37
97,"FR","carInsurance",2022-03-01,2023-03-31,"€65",40
100,"FR","homeInsurance",2022-05-01,2023-05-31,"€50",40
101,"FR","carInsurance",2022-01-01,2022-12-31,"€35",43
103,"FR","lifeInsurance",2022-01-01,2023-01-31,"€75",43
104,"FR","homeInsurance",2021-09-01,2022-08-31,"€35",43
105,"FR","carInsurance",2021-12-01,2022-11-30,"€35",44
108,"FR","homeInsurance",2021-12-01,2022-11-30,"€55",44
109,"FR","carInsurance",2021-11-01,2022-10-31,"€40",45
111,"FR","lifeInsurance",2022-05-01,2023-05-31,"€45",45
112,"FR","homeInsurance",2021-10-01,2022-09-30,"€55",45
113,"FR","carInsurance",2022-03-01,2023-03-31,"€60",46
114,"FR","carInsurance",2022-06-01,2023-06-30,"€40",46
115,"FR","lifeInsurance",2022-01-01,2022-12-31,"€45",46
117,"FR","carInsurance",2021-09-01,2022-08-31,"€30",48
119,"FR","lifeInsurance",2022-02-01,2023-02-28,"€70",48
120,"FR","homeInsurance",2021-09-01,2022-08-31,"€40",48
121,"FR","carInsurance",2021-11-01,2022-10-31,"€35",49
123,"FR","lifeInsurance",2021-11-01,2022-10-31,"€55",49
125,"FR","carInsurance",2021-12-01,2022-11-30,"€30",53
128,"FR","homeInsurance",2022-06-01,2023-06-30,"€50",53
129,"FR","carInsurance",2022-01-01,2023-01-31,"€60",54
130,"FR","carInsurance",2022-04-01,2023-04-30,"€35",54
133,"FR","carInsurance",2022-02-01,2023-02-28,"€35",55
134,"FR","carInsurance",2021-11-01,2022-10-31,"€40",55
136,"FR","homeInsurance",2021-09-01,2022-08-31,"€35",55
137,"FR","carInsurance",2022-02-01,2023-02-28,"€55",58
139,"FR","lifeInsurance",2021-09-01,2022-08-31,"€75",58
140,"FR","homeInsurance",2022-01-01,2023-01-31,"€30",58
141,"FR","carInsurance",2022-01-01,2023-01-31,"€40",60
143,"FR","lifeInsurance",2022-06-01,2023-06-30,"€55",60
144,"FR","homeInsurance",2022-02-01,2023-02-28,"€30",60
145,"FR","carInsurance",2021-10-01,2022-09-30,"€35",62
155,"FR","lifeInsurance",2021-09-01,2022-08-31,"€75",64
156,"FR","homeInsurance",2021-11-01,2022-10-31,"€55",64
157,"FR","carInsurance",2021-11-01,2022-10-31,"€65",66
158,"FR","carInsurance",2021-11-01,2022-10-31,"€45",66
160,"FR","homeInsurance",2021-11-01,2022-10-31,"€30",66
161,"FR","carInsurance",2022-01-01,2023-01-31,"€50",67
165,"FR","carInsurance",2021-10-01,2022-09-30,"€60",68
166,"FR","carInsurance",2022-03-01,2023-03-31,"€35",68
169,"FR","carInsurance",2021-09-01,2022-08-31,"€45",69
172,"FR","homeInsurance",2021-10-01,2022-09-30,"€55",69
173,"FR","carInsurance",2022-06-01,2023-06-30,"€60",70
176,"FR","homeInsurance",2021-09-01,2022-08-31,"€50",70
179,"FR","lifeInsurance",2022-01-01,2022-12-31,"€45",72
180,"FR","homeInsurance",2022-03-01,2023-03-31,"€40",72
181,"FR","carInsurance",2022-01-01,2022-12-31,"€35",74
184,"FR","homeInsurance",2021-11-01,2022-10-31,"€45",74
185,"FR","carInsurance",2022-04-01,2023-04-30,"€40",77
188,"FR","homeInsurance",2022-05-01,2023-05-31,"€30",77
189,"FR","carInsurance",2022-05-01,2023-05-31,"€30",78
192,"FR","homeInsurance",2022-02-01,2023-02-28,"€55",78
197,"FR","carInsurance",2022-05-01,2023-05-31,"€40",81
200,"FR","homeInsurance",2021-10-01,2022-09-30,"€40",81
202,"FR","carInsurance",2022-06-01,2023-06-30,"€35",82
205,"FR","carInsurance",2021-11-01,2022-10-31,"€65",83
208,"FR","homeInsurance",2021-09-01,2022-08-31,"€45",83
209,"FR","carInsurance",2021-12-01,2022-11-30,"€35",84
211,"FR","lifeInsurance",2021-12-01,2022-11-30,"€60",84
214,"FR","carInsurance",2022-03-01,2023-03-31,"€30",86
217,"FR","carInsurance",2021-10-01,2022-09-30,"€50",90
219,"FR","lifeInsurance",2022-01-01,2023-01-31,"€60",90
221,"FR","carInsurance",2021-09-01,2022-08-31,"€55",91
224,"FR","homeInsurance",2021-12-01,2022-11-30,"€50",91
228,"FR","homeInsurance",2021-10-01,2022-09-30,"€40",93
229,"FR","carInsurance",2022-01-01,2022-12-31,"€45",94
233,"FR","carInsurance",2022-02-01,2023-02-28,"€40",95
234,"FR","carInsurance",2022-03-01,2023-03-31,"€25",95
235,"FR","lifeInsurance",2022-06-01,2023-06-30,"€55",95
236,"FR","homeInsurance",2021-10-01,2022-09-30,"€50",95
237,"FR","carInsurance",2022-03-01,2023-03-31,"€60",96
239,"FR","lifeInsurance",2022-05-01,2023-05-31,"€45",96
240,"FR","homeInsurance",2022-01-01,2022-12-31,"€50",96
241,"FR","carInsurance",2022-03-01,2023-03-31,"€55",97
244,"FR","homeInsurance",2022-03-01,2023-03-31,"€45",97
249,"FR","carInsurance",2022-01-01,2023-01-31,"€50",105
252,"FR","homeInsurance",2022-05-01,2023-05-31,"€30",105
253,"FR","carInsurance",2021-12-01,2022-11-30,"€65",106
